Before Mean,Before Median,Before Mode,Before Std Dev,Before Skewness,Before Kurtosis,Before Variance,Before Max,Before Min,Before Z-Score,Before Mean MER,Before Max MER,After Mean,After Median,After Mode,After Std Dev,After Skewness,After Kurtosis,After Variance,After Max,After Min,After Z-Score,After Mean MER,After Max MER,earthquake
8.14e-05,4.54e-05,-0.001240672,0.00119527,-0.102051426,-0.056184899,1.43e-06,0.003787208,-0.003620203,-1.42e-17,8.21e-05,0.00096458,3.5e-05,-1.23e-05,-0.000280777,0.002354779,-0.295892522,0.042528189,5.54e-06,0.006167324,-0.007113071,-1.78e-17,0.248256257,0.500191349,1
4e-05,6.23e-05,-0.00070612,0.001200899,-0.133880563,0.517674257,1.44e-06,0.003056151,-0.004620662,1.78e-17,7.7e-05,0.000136994,5.14e-05,2.36e-05,-0.000168485,0.001419154,-0.025703362,-0.367549825,2.01e-06,0.003746057,-0.00385345,0.0,0.249191241,0.54442516,1
4.34e-05,9.93e-05,0.000252769,0.001247134,0.016160162,-0.50493974,1.56e-06,0.003553541,-0.002818425,2.31e-17,7.34e-05,9.82e-05,-9.48e-05,0.000214115,-0.000745194,0.003267263,-0.208548397,0.777434156,1.07e-05,0.010001642,-0.01053272,4.44e-17,0.295251818,0.903123801,1
-0.000123275,-0.000120447,-0.000331577,0.001234243,0.186940401,0.507940841,1.52e-06,0.003583551,-0.003862513,2.13e-17,7.34e-05,9.82e-05,-3.07e-06,3.3e-05,-0.000216202,0.003132445,0.010610789,0.471568379,9.81e-06,0.009110411,-0.009274584,6.22e-18,0.295251818,0.903123801,1
0.000108785,-1.35e-05,-0.000397711,0.001288602,0.459137026,1.183010311,1.66e-06,0.005743505,-0.00354504,-1.6e-17,7.34e-05,9.83e-05,-1.1e-05,-3.28e-05,-0.002624385,0.003387007,-0.089174072,0.521258494,1.15e-05,0.01004224,-0.010107931,-2.84e-17,0.293265674,0.903123801,1
0.00015348,0.000179338,0.000333952,0.001129348,0.083627289,-0.118334891,1.28e-06,0.003058436,-0.0025838,0.0,7.34e-05,9.86e-05,3.92e-05,0.000467482,-0.003312359,0.006318195,-0.600141648,0.242124151,3.99e-05,0.013498386,-0.018627332,1.69e-17,0.291263541,0.903123801,1
-2.85e-05,-3.34e-05,-0.000110083,0.001185261,0.138846578,0.175226067,1.4e-06,0.00368967,-0.003218759,-1.42e-17,7.34e-05,9.86e-05,-0.000328487,-5.24e-05,-0.003564297,0.006806866,-0.107660778,0.815890545,4.63e-05,0.022228108,-0.019953368,-7.11e-18,0.291263541,0.903123801,1
-6.3e-06,-0.000103623,-0.000487816,0.001155953,0.403761857,-0.095687246,1.34e-06,0.00346538,-0.002521222,2.84e-17,7.43e-05,0.000110304,0.000135602,-0.000103623,-0.00417278,0.013222353,-0.662580643,1.451596829,0.000174831,0.029719285,-0.044665216,1.33e-17,0.315834281,0.903123801,1
-9.36e-05,-0.000144087,0.000278759,0.001181021,0.092472214,0.044194252,1.39e-06,0.003579531,-0.003520994,-2.13e-17,7.48e-05,0.000110304,4.1e-05,0.00016397,-0.006592188,0.006301606,-0.094212862,-0.736557396,3.97e-05,0.012445231,-0.016263754,-3.55e-17,0.321836862,0.903123801,1
-2.66e-05,-5.41e-05,0.000444832,0.001147306,-0.043096248,-0.015788987,1.32e-06,0.003055113,-0.003431642,0.0,7.38e-05,0.000110304,0.000108524,-0.00049515,-0.012528092,0.013324017,0.278807522,1.030138558,0.000177529,0.047770148,-0.037821516,8.88e-18,0.310692236,0.903123801,1
-3.82e-05,1.66e-05,-0.000885588,0.001196609,-0.116560311,-0.446589821,1.43e-06,0.002684002,-0.003226465,-2.84e-17,7.43e-05,0.000110304,0.000143428,-0.000232871,-0.001115752,0.006009976,0.426689521,0.734343124,3.61e-05,0.023717345,-0.013206088,1.78e-17,0.315834281,0.903123801,1
-0.000118852,-7.99e-05,0.000150813,0.001295511,-0.138341997,-0.078258942,1.68e-06,0.003182182,-0.004225228,1.42e-17,7.41e-05,0.000110304,-3.66e-05,0.000169554,0.004756432,0.008040154,-0.130552139,0.446465689,6.46e-05,0.022834542,-0.024299263,-4.44e-18,0.314590887,0.903123801,1
3.99e-05,-9.22e-05,-0.000168938,0.001540691,0.179851121,-0.518551069,2.37e-06,0.003668883,-0.003777181,6.04e-17,0.000116272,0.002280111,-8.58e-05,8.06e-05,-0.001704535,0.002227597,0.099535054,-0.296484444,4.96e-06,0.005741529,-0.00577252,-7.11e-18,0.246549954,0.500191349,1
-5.03e-06,2.35e-05,6.22e-05,0.001368645,-0.065978538,0.117270447,1.87e-06,0.004514376,-0.003776208,1.42e-17,7.65e-05,0.000118538,-1.76e-05,-0.000110571,-0.002931688,0.002528371,0.074569382,0.175530968,6.39e-06,0.006971213,-0.007882846,4.97e-17,0.327981282,0.903123801,1
1.41e-05,2.19e-05,7.93e-05,0.00121735,0.170629777,0.243931528,1.48e-06,0.003994382,-0.003336307,1.07e-17,7.63e-05,0.000118538,0.000242775,2.83e-06,-0.001302314,0.005736412,0.334874734,0.336285508,3.29e-05,0.015700527,-0.015388575,1.42e-17,0.327268007,0.903123801,1
2.81e-05,4.12e-05,-0.000457793,0.001165877,0.054755912,0.112803365,1.36e-06,0.003803459,-0.003259584,0.0,7.82e-05,0.000118538,3e-05,4.12e-05,0.001960977,0.002362148,0.196284808,0.066016154,5.58e-06,0.007910097,-0.005830625,8.88e-18,0.345638649,0.903123801,1
-2.59e-05,-0.000100601,-0.000446139,0.001182878,0.005099307,0.02008146,1.4e-06,0.003353614,-0.003362719,-2.84e-17,7.92e-05,0.000118538,-0.000173073,-0.000196063,-0.001366795,0.00294622,-0.154119957,0.435215375,8.68e-06,0.007806962,-0.010540551,1.6e-17,0.336522102,0.903123801,1
0.000262639,0.00020947,0.00032543,0.001122813,0.174268758,0.061535783,1.26e-06,0.003779645,-0.002592321,0.0,7.63e-05,0.000118538,-9.27e-07,0.000171402,0.001822374,0.006142445,0.312779019,1.591073953,3.77e-05,0.02070635,-0.017560584,3.55e-18,0.327268007,0.903123801,1
-8.58e-05,-0.00015388,-3.91e-05,0.001266609,0.151485484,0.239598209,1.6e-06,0.004298297,-0.003263142,-1.42e-17,7.73e-05,0.000118538,0.000120525,7.63e-05,-0.000844957,0.002072075,0.379937028,0.775998911,4.29e-06,0.007176809,-0.006064932,3.55e-18,0.332067638,0.903123801,1
